match_id,possession,num_events,team,possession_team,ends_with_shot,duration,num_passes,num_carries,num_dribbles,num_duels,num_players,pressure_events,num_miscontrols,num_dispossessed,start_x,start_y,end_x,end_y,progression,num_turnovers,pass_ratio,progression_rate
3912592,37,21,Aston Villa W,Aston Villa W,0,23.552934,6.0,5.0,1.0,0.0,8,4.0,0.0,0.0,21.2,76.5,77.9,71.0,56.7,0.0,0.2857142857142857,2.4073433908488853
3912592,38,27,Manchester United W,Manchester United W,0,30.10954,9.0,8.0,0.0,1.0,6,1.0,0.0,0.0,42.2,9.1,88.9,47.8,46.7,0.0,0.3333333333333333,1.5510034361202465
3912592,39,11,Manchester United W,Aston Villa W,0,4.88935,3.0,2.0,0.0,0.0,4,1.0,0.0,0.0,35.6,31.6,101.0,70.2,65.4,0.0,0.2727272727272727,13.376011126223322
3912592,40,46,Aston Villa W,Aston Villa W,0,32.389637001,11.0,10.0,1.0,0.0,12,10.0,1.0,0.0,3.7,0.1,61.1,17.5,57.4,1.0,0.2391304347826087,1.772171759696715
3912592,41,15,Aston Villa W,Manchester United W,0,9.831134,4.0,3.0,0.0,1.0,6,2.0,0.0,0.0,59.0,62.6,4.2,19.4,-54.8,0.0,0.26666666666666666,-5.574128071085187
3912592,42,13,Aston Villa W,Manchester United W,0,16.710968,5.0,2.0,0.0,0.0,7,1.0,0.0,0.0,91.9,80.0,13.8,28.1,-78.10000000000001,0.0,0.38461538461538464,-4.673577257762687
3912592,43,12,Aston Villa W,Aston Villa W,0,15.47959,4.0,3.0,0.0,0.0,6,1.0,0.0,0.0,21.7,19.9,100.0,22.2,78.3,0.0,0.3333333333333333,5.058273507244055
3912592,44,13,Aston Villa W,Manchester United W,0,12.797996,3.0,2.0,0.0,0.0,6,5.0,0.0,0.0,34.3,56.7,3.0,40.6,-31.299999999999997,0.0,0.23076923076923078,-2.445695404186718
3912592,45,2,Aston Villa W,Aston Villa W,0,3.395319,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,6.0,36.0,58.8,12.0,52.8,0.0,0.5,15.550821587014356
3912592,46,38,Manchester United W,Manchester United W,0,51.006637,11.0,10.0,0.0,1.0,9,10.0,0.0,1.0,58.1,67.0,104.0,77.7,45.9,1.0,0.2894736842105263,0.8998828917107395
3912592,47,10,Manchester United W,Manchester United W,0,6.192086,4.0,1.0,0.0,0.0,5,1.0,0.0,0.0,102.6,80.0,106.8,39.7,4.200000000000003,0.0,0.4,0.6782851530162861
3912592,48,9,Aston Villa W,Aston Villa W,0,4.1670240000000005,1.0,2.0,0.0,0.0,4,2.0,0.0,0.0,17.5,38.1,27.5,27.1,10.0,0.0,0.1111111111111111,2.3997941936499525
3912592,49,19,Aston Villa W,Aston Villa W,0,32.328494,5.0,4.0,0.0,0.0,9,6.0,0.0,1.0,29.6,26.9,118.2,10.6,88.6,1.0,0.2631578947368421,2.74061637390223
3912592,50,22,Manchester United W,Manchester United W,0,20.244236,5.0,5.0,0.0,1.0,7,11.0,0.0,0.0,1.9,69.5,70.2,77.0,68.3,0.0,0.22727272727272727,3.373799831221094
3912592,51,6,Manchester United W,Manchester United W,0,5.146265,1.0,1.0,0.0,0.0,3,3.0,0.0,0.0,77.3,77.4,104.3,71.4,27.0,0.0,0.16666666666666666,5.246523449530874
3912592,52,4,Manchester United W,Manchester United W,1,2.960073,1.0,0.0,0.0,1.0,3,2.0,0.0,0.0,105.2,72.3,115.6,33.9,10.399999999999991,0.0,0.25,3.513426864810426
3912592,53,1,Aston Villa W,Aston Villa W,0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.8,43.1,1.8,43.1,0.0,0.0,0.0,
3912592,54,16,Aston Villa W,Aston Villa W,0,22.530881,4.0,4.0,0.0,0.0,7,4.0,1.0,0.0,6.3,41.6,50.4,71.0,44.1,1.0,0.25,1.9573136088198237
3912592,55,23,Aston Villa W,Manchester United W,0,10.521994,5.0,5.0,1.0,0.0,6,12.0,0.0,0.0,69.7,7.5,56.2,77.3,-13.5,0.0,0.21739130434782608,-1.283026772301904
3912592,56,59,Aston Villa W,Manchester United W,0,61.843269,17.0,14.0,0.0,1.0,16,12.0,1.0,0.0,66.7,0.1,3.1,42.1,-63.6,1.0,0.288135593220339,-1.0284061794986938
3912592,57,15,Aston Villa W,Aston Villa W,0,10.367435,4.0,2.0,0.0,2.0,8,6.0,0.0,0.0,6.0,44.0,66.2,42.1,60.2,0.0,0.26666666666666666,5.8066435912065035
3912592,58,20,Manchester United W,Manchester United W,0,19.481889,7.0,5.0,0.0,0.0,8,0.0,0.0,0.0,48.3,37.8,108.0,27.8,59.7,0.0,0.35,3.0643845676361265
3912592,59,9,Aston Villa W,Aston Villa W,0,7.710246,2.0,1.0,0.0,0.0,6,2.0,0.0,1.0,15.4,48.1,59.9,19.4,44.5,1.0,0.2222222222222222,5.771540882093775
3912592,60,6,Manchester United W,Manchester United W,0,2.0785720000000003,0.0,1.0,0.0,2.0,3,4.0,0.0,1.0,60.2,60.7,70.4,72.5,10.200000000000003,1.0,0.0,4.907215145782779
3912592,61,12,Manchester United W,Manchester United W,0,6.887632,3.0,2.0,0.0,0.0,6,3.0,0.0,0.0,69.7,80.0,90.9,78.6,21.200000000000003,0.0,0.25,3.0779809374252287
